,year,location_code,hs_product_code,export_value
0,2004,Aguascalientes,112511,0.0
1,2004,Aguascalientes,112512,1.0
2,2004,Aguascalientes,114111,0.0
3,2004,Aguascalientes,114112,0.0
4,2004,Aguascalientes,114113,0.0
5,2004,Aguascalientes,114119,12.0
6,2004,Aguascalientes,211111,0.0
7,2004,Aguascalientes,212110,0.0
8,2004,Aguascalientes,212210,0.0
9,2004,Aguascalientes,212221,0.0
10,2004,Aguascalientes,212222,0.0
11,2004,Aguascalientes,212231,0.0
12,2004,Aguascalientes,212232,0.0
13,2004,Aguascalientes,212291,0.0
14,2004,Aguascalientes,212299,1.0
15,2004,Aguascalientes,212311,0.0
16,2004,Aguascalientes,212312,0.0
17,2004,Aguascalientes,212319,1.0
18,2004,Aguascalientes,212321,18.0
19,2004,Aguascalientes,212322,0.0
20,2004,Aguascalientes,212323,0.0
21,2004,Aguascalientes,212324,0.0
22,2004,Aguascalientes,212325,0.0
23,2004,Aguascalientes,212329,0.0
24,2004,Aguascalientes,212391,0.0
25,2004,Aguascalientes,212392,0.0
26,2004,Aguascalientes,212393,0.0
27,2004,Aguascalientes,212394,0.0
28,2004,Aguascalientes,212395,0.0
29,2004,Aguascalientes,212396,0.0
30,2004,Aguascalientes,212397,0.0
31,2004,Aguascalientes,212398,0.0
32,2004,Aguascalientes,212399,10.0
33,2004,Aguascalientes,213111,0.0
34,2004,Aguascalientes,213119,4.0
35,2004,Aguascalientes,221111,0.0
36,2004,Aguascalientes,221121,1.0
37,2004,Aguascalientes,221210,0.0
38,2004,Aguascalientes,221311,1.0
39,2004,Aguascalientes,221312,10.0
40,2004,Aguascalientes,236111,64.0
41,2004,Aguascalientes,236112,3.0
42,2004,Aguascalientes,236113,0.0
43,2004,Aguascalientes,236211,10.0
44,2004,Aguascalientes,236212,0.0
45,2004,Aguascalientes,236221,44.0
46,2004,Aguascalientes,236222,0.0
47,2004,Aguascalientes,237111,5.0
48,2004,Aguascalientes,237112,0.0
49,2004,Aguascalientes,237113,0.0
50,2004,Aguascalientes,237121,0.0
51,2004,Aguascalientes,237122,0.0
52,2004,Aguascalientes,237131,15.0
53,2004,Aguascalientes,237132,3.0
54,2004,Aguascalientes,237133,0.0
55,2004,Aguascalientes,237211,1.0
56,2004,Aguascalientes,237212,44.0
57,2004,Aguascalientes,237213,0.0
58,2004,Aguascalientes,237311,0.0
59,2004,Aguascalientes,237312,17.0
60,2004,Aguascalientes,237313,0.0
61,2004,Aguascalientes,237991,0.0
62,2004,Aguascalientes,237992,0.0
63,2004,Aguascalientes,237993,1.0
64,2004,Aguascalientes,237994,0.0
65,2004,Aguascalientes,238110,0.0
66,2004,Aguascalientes,238121,0.0
67,2004,Aguascalientes,238122,0.0
68,2004,Aguascalientes,238130,0.0
69,2004,Aguascalientes,238190,3.0
70,2004,Aguascalientes,238210,17.0
71,2004,Aguascalientes,238221,4.0
72,2004,Aguascalientes,238222,8.0
73,2004,Aguascalientes,238290,2.0
74,2004,Aguascalientes,238311,4.0
75,2004,Aguascalientes,238312,3.0
76,2004,Aguascalientes,238320,2.0
