,year_pair,location_code,Product,export,eci,pci,density,coi,cog,rca1,rca2,M_num_0_5,M_num_0_55,M_num_0_6,M_num_0_65,M_num_0_7,M_num_0_75,M_num_0_8,M_num_0_85,M_num_0_9,M_num_0_95,M_num_1,M_0_5,M_0_55,M_0_6,M_0_65,M_0_7,M_0_75,M_0_8,M_0_85,M_0_9,M_0_95,M_1
0,2004_2009,Centro,112511,0.0,1.6921803024985602,-1.2544216950301557,0.3406088454910974,-1.7111654924784034,-1.2332988453799216,0.0,0.0029905368578565343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
1,2004_2009,Centro,112512,2670.0,1.6921803024985602,1.079600335677584,0.7359928283281043,-1.7111654924784034,-0.0,1.2077667318581635,0.8230254346751511,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2004_2009,Centro,114111,0.0,1.6921803024985602,-0.9021538623174805,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.0,0.0015486409554830495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
3,2004_2009,Centro,114112,0.0,1.6921803024985602,-1.4384003395249798,0.3069511355815554,-1.7111654924784034,-1.2163475893358433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
4,2004_2009,Centro,114113,0.0,1.6921803024985602,-1.7906681722376527,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
5,2004_2009,Centro,114119,1882.0,1.6921803024985602,-0.9021538623174782,0.3445006321112516,-1.7111654924784034,-0.9268224541564908,0.039861330566344104,0.06576404669271071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
6,2004_2009,Centro,211111,0.0,1.6921803024985602,-1.0861325068123147,0.26891891891891895,-1.7111654924784034,-0.6193946952005219,0.0,0.09729296258570234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
7,2004_2009,Centro,212110,0.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
8,2004_2009,Centro,212221,0.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped,Underdeveloped
9,2004_2009,Centro,212222,265.0,1.6921803024985602,-1.7906681722376547,0.2334593572778828,-1.7111654924784034,-1.2409110461560142,0.3907505690303619,1.5492741821494433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
