,Estado,Year,Population,GDP,GDPperCAP
0,Aguascalientes,2004,1065416.0,126554.147,0.11878378680252596
1,Aguascalientes,2005,1065416.0,129628.028,0.1216689330740293
2,Aguascalientes,2006,1089332.0,138111.823,0.12678579441345705
3,Aguascalientes,2007,1113248.0,150305.117,0.13501494455862484
4,Aguascalientes,2008,1137164.0,150949.983,0.13274249184814152
5,Aguascalientes,2009,1161080.0,143253.947,0.12337991094498224
6,Aguascalientes,2010,1184996.0,152205.212,0.12844365044270192
7,Aguascalientes,2011,1209057.1,158934.494,0.13145325725311072
8,Aguascalientes,2012,1233118.2,167705.967,0.13600153415949906
9,Aguascalientes,2013,1257179.3,172820.491,0.1374668601368158
10,Aguascalientes,2014,1281240.4,190482.862,0.14867066477141996
11,Aguascalientes,2015,1305301.5,198220.641,0.1518581270304217
12,Aguascalientes,2016,1329362.6,211672.469,0.15922854231042757
13,Aguascalientes,2017,1353423.7,216705.56,0.160116569556156
14,Aguascalientes,2018,1377484.8,224891.592,0.16326248536462978
15,Aguascalientes,2019,1401545.9,222451.271,0.15871850575853422
17,Baja California,2004,2844469.0,423005.499,0.14871158694294084
18,Baja California,2005,2844469.0,433008.166,0.1522281192025647
19,Baja California,2006,2906589.2,456019.296,0.1568915538528802
20,Baja California,2007,2968709.4,461581.274,0.15548213442514783
21,Baja California,2008,3030829.6,457556.565,0.15096743314107794
22,Baja California,2009,3092949.8,407745.948,0.13183076815537065
23,Baja California,2010,3155070.0,428162.546,0.13570619542514112
24,Baja California,2011,3216465.0,440700.662,0.13701397714571742
25,Baja California,2012,3277860.0,456024.472,0.1391226202461362
26,Baja California,2013,3339255.0,465524.695,0.13940974708430473
27,Baja California,2014,3400650.0,478121.939,0.14059722082543044
28,Baja California,2015,3462045.0,511459.528,0.147733356441063
29,Baja California,2016,3523440.0,535552.651,0.15199709687123947
30,Baja California,2017,3584835.0,553327.213,0.1543522123054478
31,Baja California,2018,3646230.0,566045.913,0.15524141729951207
32,Baja California,2019,3707625.0,575332.463,0.15517547297798456
34,Baja California Sur,2004,512170.0,81546.009,0.15921668391354435
35,Baja California Sur,2005,512170.0,87397.67,0.17064191577015445
36,Baja California Sur,2006,537141.2,93655.622,0.17435940866200547
37,Baja California Sur,2007,562112.4,106199.426,0.18892916434506693
38,Baja California Sur,2008,587083.6,108975.356,0.18562152988092326
39,Baja California Sur,2009,612054.8,108338.811,0.17700835121299596
40,Baja California Sur,2010,637026.0,110656.4,0.17370782354252415
41,Baja California Sur,2011,653168.1,114707.762,0.17561752020651347
42,Baja California Sur,2012,669310.2,117345.833,0.17532353907052367
43,Baja California Sur,2013,685452.3,115027.644,0.16781276246355872
44,Baja California Sur,2014,701594.4,116027.018,0.16537620311678655
45,Baja California Sur,2015,717736.5,130520.642,0.18185036151846815
46,Baja California Sur,2016,733878.6,133948.675,0.18252157100643077
47,Baja California Sur,2017,750020.7,148376.63,0.1978300465573817
48,Baja California Sur,2018,766162.8,173200.594,0.22606239039535722
49,Baja California Sur,2019,782304.9,158953.669,0.2031863394949974
51,Campeche,2004,754730.0,1059561.025,1.4038941409510686
52,Campeche,2005,754730.0,1038533.775,1.3760335152968612
53,Campeche,2006,768272.2,1014280.35,1.3202096210171343
54,Campeche,2007,781814.4,947575.493,1.2120210282645087
55,Campeche,2008,795356.6,867231.044,1.0903675709738248
56,Campeche,2009,808898.8,780757.429,0.9652102698137269
57,Campeche,2010,822441.0,753968.591,0.9167448984182452
58,Campeche,2011,833033.2,726503.856,0.8721187294816102
59,Campeche,2012,843625.4,714787.065,0.8472801613133032
60,Campeche,2013,854217.6,721085.063,0.8441468110701535
61,Campeche,2014,864809.8,685981.27,0.7932163465307631
62,Campeche,2015,875402.0,637604.643,0.7283563928343778
63,Campeche,2016,885994.2,600612.272,0.6778963925497481
64,Campeche,2017,896586.4,537882.577,0.5999227481032503
65,Campeche,2018,907178.6,529465.695,0.5836399745320271
66,Campeche,2019,917770.8,517309.327,0.5636585158298781
68,Coahuila,2004,2495200.0,449143.882,0.18000315886502083
69,Coahuila,2005,2495200.0,458867.907,0.18390025128246232
70,Coahuila,2006,2545838.2,480488.194,0.1887347726968666
71,Coahuila,2007,2596476.4,500478.657,0.19275301597195338
72,Coahuila,2008,2647114.6,498326.775,0.18825281497068544
73,Coahuila,2009,2697752.8,421327.489,0.15617720385648381
74,Coahuila,2010,2748391.0,489951.776,0.17826858551057692
75,Coahuila,2011,2788229.0,523207.112,0.1876485439323671
76,Coahuila,2012,2828067.0,549551.802,0.19432064445432162
77,Coahuila,2013,2867905.0,538206.987,0.1876655562161229
78,Coahuila,2014,2907743.0,559217.153,0.19232000661681586
79,Coahuila,2015,2947581.0,563928.44,0.19131906468388823
80,Coahuila,2016,2987419.0,572243.615,0.1915511734376731
81,Coahuila,2017,3027257.0,601722.052,0.19876807684316197
82,Coahuila,2018,3067095.0,608138.802,0.19827843676182186
83,Coahuila,2019,3106933.0,603865.64,0.19436068946449764
85,Colima,2004,567996.0,67794.051,0.11935656413073333
86,Colima,2005,567996.0,68258.171,0.1201736825611448
87,Colima,2006,584507.8,72533.785,0.12409378454829859
88,Colima,2007,601019.6,77526.37,0.12899141725161709
89,Colima,2008,617531.4,78953.717,0.12785376905530635
90,Colima,2009,634043.2,76446.9,0.12057049109587485
91,Colima,2010,650555.0,81992.178,0.12603419849205677
92,Colima,2011,658638.6,87944.969,0.13352537947214146
93,Colima,2012,666722.2,90540.289,0.13579912143318462
94,Colima,2013,674805.8,91422.446,0.1354796387345811
95,Colima,2014,682889.4,93703.258,0.13721586248080583
96,Colima,2015,690973.0,95878.066,0.13875804988038606
97,Colima,2016,699056.6,98576.211,0.14101320408104293
98,Colima,2017,707140.2,102039.429,0.144298724637632
99,Colima,2018,715223.8,105031.03,0.14685058019601696
100,Colima,2019,723307.4,109098.972,0.15083347965194327
102,Chiapas,2004,4293459.0,238375.89,0.0555207095258159
103,Chiapas,2005,4293459.0,240279.559,0.05596409771235734
104,Chiapas,2006,4394083.2,248414.302,0.05653381847662784
105,Chiapas,2007,4494707.4,252536.304,0.05618526002382268
106,Chiapas,2008,4595331.6,258289.89,0.056207018879769206
107,Chiapas,2009,4695955.8,256698.362,0.054663709143088615
108,Chiapas,2010,4796580.0,270989.331,0.05649636428455274
109,Chiapas,2011,4871304.8,279446.584,0.057365858937835294
110,Chiapas,2012,4946029.6,284733.625,0.057568119891559084
111,Chiapas,2013,5020754.4,280925.273,0.05595280123640383
112,Chiapas,2014,5095479.2,294029.165,0.05770392802309937
113,Chiapas,2015,5170204.0,287811.831,0.05566740325913639
114,Chiapas,2016,5244928.8,287034.269,0.05472605633845782
115,Chiapas,2017,5319653.6,277580.835,0.05218024628520925
116,Chiapas,2018,5394378.4,267664.128,0.049619086417816004
117,Chiapas,2019,5469103.2,261684.516,0.04784779266918934
119,Chihuahua,2004,3241444.0,376662.637,0.11620211146637116
120,Chihuahua,2005,3241444.0,389210.794,0.12007327413338006
121,Chihuahua,2006,3274448.2,419631.539,0.12815336000734412
122,Chihuahua,2007,3307452.4,434649.92,0.13141532135126116
123,Chihuahua,2008,3340456.6,440792.887,0.1319558790256398
124,Chihuahua,2009,3373460.8,401079.179,0.11889249728350186
125,Chihuahua,2010,3406465.0,417796.42,0.12264808826745614
126,Chihuahua,2011,3440005.4,427430.027,0.12425271977770733
127,Chihuahua,2012,3473545.8,459166.22,0.1321894819984812
