,Region,Year,Population,GDP,GDPperCAP
0,Sur,2004,23724652.0,3062309.81,0.12907712239572577
1,Sur,2005,23724652.0,3098285.915,0.13059352419584488
2,Sur,2006,24174262.200000003,3169952.985,0.13112925469137998
3,Sur,2007,24623872.400000002,3168616.338,0.12868066754601928
4,Sur,2008,25073482.599999998,3136133.603,0.12507770272806062
5,Sur,2009,25523092.799999997,3023168.57,0.11844836335822123
6,Sur,2010,25972703.0,3099396.8770000003,0.11933285792395194
7,Sur,2011,26254341.1,3160901.0130000003,0.12039536627335128
8,Sur,2012,26535979.2,3231464.057,0.12177670296787088
9,Sur,2013,26817617.3,3242384.0749999997,0.12090500206369936
10,Sur,2014,27099255.4,3260599.2770000002,0.12032062242566267
11,Sur,2015,27380893.5,3238024.205,0.11825852962029891
12,Sur,2016,27662531.6,3202030.417,0.11575333969071723
13,Sur,2017,27944169.7,3110140.2810000004,0.11129836078114
14,Sur,2018,28225807.8,3107618.575,0.11009848139758112
15,Sur,2019,28507445.9,3076646.985,0.10792432951701225
16,Centro,2004,25622620.0,3752802.2929999996,0.14646442452020908
17,Centro,2005,25622620.0,3824840.155,0.14927591928538142
18,Centro,2006,26009575.800000004,3999491.768,0.15376997298048972
19,Centro,2007,26396531.599999998,4084736.595,0.15474520125969884
20,Centro,2008,26783487.400000002,4162453.1330000004,0.1554111707275282
21,Centro,2009,27170443.199999996,3992750.423,0.14695197989998193
22,Centro,2010,27557399.0,4191548.0659999996,0.1521024558957832
23,Centro,2011,27874255.200000003,4359467.53,0.1563976328235669
24,Centro,2012,28191111.400000002,4535810.501999999,0.16089505793659484
25,Centro,2013,28507967.599999998,4607654.680000001,0.16162690882250058
26,Centro,2014,28824823.799999997,4756593.665,0.16501726768577854
27,Centro,2015,29141680.0,4969291.942000001,0.17052180732202127
28,Centro,2016,29458536.200000003,5123924.207000001,0.17393682334426383
29,Centro,2017,29775392.400000002,5302851.197,0.1780950902598348
30,Centro,2018,30092248.599999998,5427332.308000001,0.18035648914584607
31,Centro,2019,30409104.799999997,5410393.908,0.17792019671687279
32,Centro-Norte,2004,20341425.0,2162818.9560000002,0.10632583292468449
33,Centro-Norte,2005,20341425.0,2211659.6799999997,0.10872688024560716
34,Centro-Norte,2006,20722237.599999998,2316917.301,0.11180825863129763
35,Centro-Norte,2007,21103050.2,2399766.1829999997,0.11371655567591835
36,Centro-Norte,2008,21483862.8,2442531.108,0.11369143113313868
37,Centro-Norte,2009,21864675.400000002,2330396.08,0.10658269731276229
38,Centro-Norte,2010,22245488.0,2449099.438,0.11009421047540068
39,Centro-Norte,2011,22517913.8,2537674.2019999996,0.11269579520283977
40,Centro-Norte,2012,22790339.599999998,2634137.098,0.11558130085959757
41,Centro-Norte,2013,23062765.400000002,2691989.223,0.11672447671865058
42,Centro-Norte,2014,23335191.2,2805874.903,0.12024220752903023
43,Centro-Norte,2015,23607617.0,2910701.353,0.12329500910659472
44,Centro-Norte,2016,23880042.8,3034076.5300000003,0.12705490335218328
45,Centro-Norte,2017,24152468.599999998,3114819.222,0.12896483889849672
46,Centro-Norte,2018,24424894.400000002,3219207.142,0.13180024811079633
47,Centro-Norte,2019,24697320.2,3223635.5810000002,0.13052572323211004
48,Norte,2004,19567196.0,2998915.328,0.15326239528647848
49,Norte,2005,19567196.0,3113559.3300000005,0.1591213850977933
50,Norte,2006,19930774.0,3294319.7420000006,0.16528809879636389
51,Norte,2007,20294351.999999996,3416686.6659999997,0.16835652924518113
52,Norte,2008,20657930.000000004,3463494.4230000004,0.16765931644651713
53,Norte,2009,21021508.0,3163503.988,0.15048891773130643
54,Norte,2010,21385086.0,3385542.5949999997,0.15831325602338003
55,Norte,2011,21700258.900000002,3534305.6610000003,0.1628692854443317
56,Norte,2012,22015431.8,3689586.253,0.16759091016329736
57,Norte,2013,22330604.7,3735437.6350000002,0.16727883929627757
58,Norte,2014,22645777.599999998,3841797.993,0.16964743100718255
59,Norte,2015,22960950.5,4016212.5289999996,0.17491490733364892
60,Norte,2016,23276123.400000002,4137051.7159999995,0.17773800408705512
61,Norte,2017,23591296.3,4245072.685,0.17994232411043895
62,Norte,2018,23906469.2,4338969.346,0.18149770715618682
63,Norte,2019,24221642.099999998,4374737.988,0.18061277472182616
